Date	Diesel/Petrol	Pump Price
1/22/2007	Diesel	£90.45
1/22/2007	Petrol	£86.28
1/29/2007	Diesel	£89.70
1/29/2007	Petrol	£85.66
2/5/2007	Diesel	£89.63
2/5/2007	Petrol	£85.62
2/12/2007	Diesel	£90.11
2/12/2007	Petrol	£86.12
2/19/2007	Diesel	£90.55
2/19/2007	Petrol	£86.60
2/26/2007	Diesel	£91.02
2/26/2007	Petrol	£87.07
3/5/2007	Diesel	£91.59
3/5/2007	Petrol	£87.74
3/12/2007	Diesel	£92.17
3/12/2007	Petrol	£88.48
3/19/2007	Diesel	£92.61
3/19/2007	Petrol	£88.93
3/26/2007	Diesel	£92.91
3/26/2007	Petrol	£89.32
4/2/2007	Diesel	£93.90
4/2/2007	Petrol	£90.47
4/10/2007	Diesel	£94.33
4/10/2007	Petrol	£91.18
4/16/2007	Diesel	£94.86
4/16/2007	Petrol	£91.99
4/23/2007	Diesel	£95.39
4/23/2007	Petrol	£92.93
4/30/2007	Diesel	£95.71
4/30/2007	Petrol	£93.45
5/7/2007	Diesel	£96.12
5/7/2007	Petrol	£94.43
5/14/2007	Diesel	£96.47
5/14/2007	Petrol	£95.07
5/21/2007	Diesel	£96.69
5/21/2007	Petrol	£95.71
5/28/2007	Diesel	£96.99
5/28/2007	Petrol	£96.16
6/4/2007	Diesel	£97.19
6/4/2007	Petrol	£96.51
6/11/2007	Diesel	£97.20
6/11/2007	Petrol	£96.61
6/18/2007	Diesel	£97.11
6/18/2007	Petrol	£96.56
6/25/2007	Diesel	£97.12
6/25/2007	Petrol	£96.54
7/2/2007	Diesel	£96.89
7/2/2007	Petrol	£96.36
7/9/2007	Diesel	£96.78
7/9/2007	Petrol	£96.20
7/16/2007	Diesel	£96.79
7/16/2007	Petrol	£96.21
7/23/2007	Diesel	£96.83
7/23/2007	Petrol	£96.23
7/30/2007	Diesel	£96.77
7/30/2007	Petrol	£96.20
8/6/2007	Diesel	£96.72
8/6/2007	Petrol	£96.15
8/13/2007	Diesel	£96.70
8/13/2007	Petrol	£96.00
8/20/2007	Diesel	£96.59
8/20/2007	Petrol	£95.31
8/27/2007	Diesel	£96.37
8/27/2007	Petrol	£95.00
9/3/2007	Diesel	£96.37
9/3/2007	Petrol	£94.80
9/10/2007	Diesel	£96.34
9/10/2007	Petrol	£94.63
9/17/2007	Diesel	£96.45
9/17/2007	Petrol	£94.65
9/24/2007	Diesel	£96.90
9/24/2007	Petrol	£94.91
10/1/2007	Diesel	£98.51
10/1/2007	Petrol	£96.39
10/8/2007	Diesel	£99.10
10/8/2007	Petrol	£97.14
10/15/2007	Diesel	£99.18
10/15/2007	Petrol	£97.19
10/22/2007	Diesel	£99.89
10/22/2007	Petrol	£97.81
10/29/2007	Diesel	£100.69
10/29/2007	Petrol	£98.26
11/5/2007	Diesel	£102.16
11/5/2007	Petrol	£99.36
11/12/2007	Diesel	£104.17
11/12/2007	Petrol	£100.74
11/19/2007	Diesel	£105.28
11/19/2007	Petrol	£101.47
11/26/2007	Diesel	£106.25
11/26/2007	Petrol	£102.13
12/3/2007	Diesel	£107.19
12/3/2007	Petrol	£102.58
12/10/2007	Diesel	£107.47
12/10/2007	Petrol	£102.67
12/17/2007	Diesel	£107.56
12/17/2007	Petrol	£102.60
12/24/2007	Diesel	£107.50
12/24/2007	Petrol	£102.53
12/31/2007	Diesel	£107.61
12/31/2007	Petrol	£102.66
1/7/2008	Diesel	£108.29
1/7/2008	Petrol	£103.37
1/14/2008	Diesel	£108.77
1/14/2008	Petrol	£103.82
1/21/2008	Diesel	£109.09
1/21/2008	Petrol	£104.22
1/28/2008	Diesel	£109.11
1/28/2008	Petrol	£104.22
2/4/2008	Diesel	£108.99
2/4/2008	Petrol	£104.03
2/11/2008	Diesel	£108.86
2/11/2008	Petrol	£103.67
2/18/2008	Diesel	£108.99
2/18/2008	Petrol	£103.70
2/25/2008	Diesel	£110.21
2/25/2008	Petrol	£104.65
3/3/2008	Diesel	£110.90
3/3/2008	Petrol	£105.24
3/10/2008	Diesel	£112.23
3/10/2008	Petrol	£105.96
3/17/2008	Diesel	£113.08
3/17/2008	Petrol	£106.41
3/24/2008	Diesel	£114.40
3/24/2008	Petrol	£106.90
3/31/2008	Diesel	£114.79
3/31/2008	Petrol	£107.10
4/7/2008	Diesel	£115.47
4/7/2008	Petrol	£107.24
4/14/2008	Diesel	£116.51
4/14/2008	Petrol	£107.61
4/21/2008	Diesel	£118.06
4/21/2008	Petrol	£108.57
4/28/2008	Diesel	£119.10
4/28/2008	Petrol	£109.50
5/5/2008	Diesel	£120.37
5/5/2008	Petrol	£110.30
5/12/2008	Diesel	£121.49
5/12/2008	Petrol	£111.04
5/19/2008	Diesel	£124.50
5/19/2008	Petrol	£112.96
5/26/2008	Diesel	£127.21
5/26/2008	Petrol	£114.79
6/2/2008	Diesel	£128.82
6/2/2008	Petrol	£116.03
6/9/2008	Diesel	£129.68
6/9/2008	Petrol	£116.86
6/16/2008	Diesel	£130.66
6/16/2008	Petrol	£117.69
6/23/2008	Diesel	£131.45
6/23/2008	Petrol	£118.44
6/30/2008	Diesel	£132.03
6/30/2008	Petrol	£118.84
7/7/2008	Diesel	£132.55
7/7/2008	Petrol	£119.28
7/14/2008	Diesel	£132.87
7/14/2008	Petrol	£119.44
7/21/2008	Diesel	£132.89
7/21/2008	Petrol	£119.40
7/28/2008	Diesel	£130.71
7/28/2008	Petrol	£116.91
8/4/2008	Diesel	£128.19
8/4/2008	Petrol	£115.06
8/11/2008	Diesel	£126.20
8/11/2008	Petrol	£113.92
8/18/2008	Diesel	£124.10
8/18/2008	Petrol	£112.22
8/25/2008	Diesel	£123.74
8/25/2008	Petrol	£112.02
9/1/2008	Diesel	£123.89
9/1/2008	Petrol	£112.20
9/8/2008	Diesel	£124.20
9/8/2008	Petrol	£112.55
9/15/2008	Diesel	£124.14
9/15/2008	Petrol	£112.51
9/22/2008	Diesel	£122.61
9/22/2008	Petrol	£110.81
9/29/2008	Diesel	£121.65
9/29/2008	Petrol	£109.85
10/6/2008	Diesel	£121.14
10/6/2008	Petrol	£109.45
10/13/2008	Diesel	£118.42
10/13/2008	Petrol	£107.04
10/20/2008	Diesel	£114.31
10/20/2008	Petrol	£102.66
10/27/2008	Diesel	£111.01
10/27/2008	Petrol	£98.62
11/3/2008	Diesel	£109.87
11/3/2008	Petrol	£97.40
11/10/2008	Diesel	£109.13
11/10/2008	Petrol	£95.89
11/17/2008	Diesel	£108.73
11/17/2008	Petrol	£94.83
11/24/2008	Diesel	£107.78
11/24/2008	Petrol	£92.79
12/1/2008	Diesel	£106.56
12/1/2008	Petrol	£91.47
12/8/2008	Diesel	£104.87
12/8/2008	Petrol	£90.16
12/15/2008	Diesel	£101.24
12/15/2008	Petrol	£89.07
12/22/2008	Diesel	£99.94
12/22/2008	Petrol	£88.01
12/29/2008	Diesel	£99.17
12/29/2008	Petrol	£87.34
1/5/2009	Diesel	£97.57
1/5/2009	Petrol	£85.42
1/12/2009	Diesel	£98.32
1/12/2009	Petrol	£86.02
1/19/2009	Diesel	£98.45
1/19/2009	Petrol	£86.19
1/26/2009	Diesel	£99.39
1/26/2009	Petrol	£87.42
